time(min),BAT F NOT PRESENT,STALL WARNING
0,0,0
0.040336849999999994,0,0
0.0419991,0,0
0.04366648333333333,0,0
0.04544343333333334,0,0
0.04700376666666667,0,0
0.048668333333333334,0,0
0.050451333333333334,0,0
0.05200133333333333,0,0
0.053672783333333335,0,0
0.0553397,0,0
0.0570036,0,0
0.058669316666666665,0,0
0.06132898333333334,0,0
0.06200668333333333,0,0
0.06466456666666666,0,0
0.06533563333333334,0,0
0.06800943333333333,0,0
0.06868553333333333,0,0
0.07133355,0,0
0.0720238,0,0
0.0746625,1,0
0.07535556666666667,1,0
0.07869056666666667,1,0
0.08034854999999999,1,0
0.08201956666666667,1,0
0.08201956666666667,1,0
0.08544928333333333,1,0
0.08702006666666666,1,0
0.08868376666666666,1,0
0.09035581666666667,1,0
0.09202881666666667,1,0
0.09368775,1,0
0.09535323333333334,1,0
0.09701641666666666,1,0
0.09868781666666666,1,0
0.10085258333333333,1,0
0.1020224,1,0
0.10463503333333334,1,0
0.10535035,1,0
0.10799791666666667,1,0
0.10919206666666667,1,0
0.11132748333333334,1,0
0.11201715000000001,1,0
0.11466083333333332,1,0
0.11535411666666667,1,0
0.11800648333333333,1,0
0.1186863,1,0
0.12161773333333334,1,0
0.12212725,1,0
0.12465916666666667,1,0
0.12586888333333332,1,0
0.12799023333333334,1,0
0.12946045,1,0
0.13132685,1,0
0.13312716666666666,1,0
0.13534856666666667,1,0
0.13702046666666665,1,0
0.13868426666666667,1,0
0.14035219999999998,1,0
0.14203285,1,0
0.14368501666666667,1,0
0.1453534,1,0
0.14701931666666665,1,0
0.14868553333333331,1,0
0.15071046666666668,1,0
0.15201653333333334,1,0
0.15438378333333333,1,0
0.15535055,1,0
0.15701793333333333,1,0
0.15880256666666667,1,0
0.16133143333333333,1,0
0.16246051666666667,1,0
0.16466451666666665,1,0
0.16613523333333333,1,0
0.16800298333333333,1,0
0.16868151666666667,1,0
0.17161988333333333,1,0
0.17201593333333334,1,0
0.17466253333333334,1,0
0.17536076666666667,1,0
0.17868643333333334,1,0
0.18035221666666668,1,0
0.18201988333333333,1,0
0.18201988333333333,1,0
0.18537501666666667,1,0
0.18701806666666668,1,0
0.18868543333333335,1,0
0.1903522666666667,1,0
0.19202975,1,0
0.1937410333333333,1,0
0.1953563,1,0
0.19702246666666667,1,0
0.19868945,1,0
0.2007182,1,0
0.20201853333333333,1,0
0.20368601666666666,1,0
0.20551058333333333,1,0
0.20702073333333335,1,0
0.2090629,1,0
0.21035708333333333,1,0
0.21202278333333333,1,0
0.21368368333333335,1,0
0.21535571666666667,1,0
0.21738843333333335,1,0
0.21868443333333334,1,0
0.22056366666666666,1,0
0.22202135,1,0
0.22369091666666666,1,0
0.22536548333333334,1,0
0.22701818333333335,1,0
0.22868216666666666,1,0
0.23035216666666666,1,0
0.23206263333333332,1,0
0.23410085,1,0
0.23589598333333334,1,0
0.2379902,1,0
0.23868986666666667,1,0
0.24132493333333332,1,0
0.24202526666666666,1,0
0.24466084999999999,1,0
0.24535095,1,0
0.2482456,1,0
0.2486835166666667,1,0
0.25159893333333333,1,0
0.2520216,1,0
0.25507156666666664,1,0
0.25535741666666667,1,0
0.2586667,1,0
0.2603378666666667,1,0
0.2620239833333333,1,0
0.26368393333333334,1,0
0.2653557166666667,1,0
0.2665373833333333,1,0
0.26868406666666667,1,0
0.27038836666666666,1,0
0.27202031666666665,1,0
0.27369008333333333,1,0
0.2753646666666667,1,0
0.27701723333333333,1,0
0.2786810666666667,1,0
0.28035208333333334,1,0
0.28201435,1,0
0.2841015666666667,1,0
0.28569648333333336,1,0
0.28702035000000004,1,0
0.28868831666666667,1,0
0.2913075,1,0
0.2920335333333333,1,0
0.29464585,1,0
0.29535021666666667,1,0
0.2979926666666667,1,0
0.29868295,1,0
0.3013275,1,0
0.30203836666666667,1,0
0.30465610000000004,1,0
0.3056739833333333,1,0
0.30799021666666665,1,0
0.30934385000000003,1,0
0.31132703333333334,1,0
0.31269064999999996,1,0
0.31466416666666663,1,0
0.31627275000000005,1,0
0.3180026166666666,1,0
0.3197093166666667,1,0
0.3216218833333333,1,0
0.32336285000000003,1,0
0.32466228333333336,1,0
0.32536111666666667,1,0
0.32798896666666666,1,0
0.32868506666666664,1,0
0.33156263333333336,1,0
0.33202028333333333,1,0
0.33534871666666666,1,0
0.33702381666666664,1,0
0.33868446666666663,1,0
0.3403513833333333,1,0
0.3420287,1,0
0.3436862333333333,1,0
0.34535381666666665,1,0
0.3470214833333333,1,0
0.34868914999999995,1,0
0.35072074999999997,1,0
0.35209511666666665,1,0
0.3536846666666667,1,0
0.3553506,1,0
0.35701958333333333,1,0
0.35869518333333333,1,0
0.36035628333333336,1,0
0.36220611666666663,1,0
0.3636910333333333,1,0
0.36604048333333333,1,0
0.36797104999999997,1,0
0.3686831833333334,1,0
0.3713311166666666,1,0
0.37201948333333335,1,0
0.3746563666666667,1,0
0.37536403333333335,1,0
0.37799258333333335,1,0
0.37868884999999997,1,0
0.3813297,1,0
0.38202403333333335,1,0
0.38466453333333334,1,0
0.38535273333333336,1,0
0.38828884999999996,1,0
0.390355,1,0
0.3920232166666667,1,0
0.39369048333333334,1,0
0.39534811666666664,1,0
0.397017,1,0
0.3986834166666667,1,0
0.40046995,1,0
0.40216721666666666,1,0
0.40368811666666665,1,0
0.40551675000000004,1,0
0.40702381666666665,1,0
0.40869941666666665,1,0
0.4103513833333333,1,0
0.4120238666666667,1,0
0.41368428333333335,1,0
0.41576298333333334,1,0
0.41738871666666666,1,0
0.41868738333333333,1,0
0.4203574333333333,1,0
0.42202090000000003,1,0
0.4236849666666667,1,0
0.4253593,1,0
0.42724616666666665,1,0
0.42868386666666664,1,0
0.4310660333333333,1,0
0.43201853333333334,1,0
0.4342392333333333,1,0
0.43535731666666666,1,0
0.43799214999999997,1,0
0.43873075,1,0
0.4413287166666667,1,0
0.4425911,1,0
0.44466275,1,0
0.4464117166666667,1,0
0.44799625000000004,1,0
0.4486875,1,0
0.45133581666666667,1,0
0.4522622,1,0
0.4549567333333333,1,0
0.45592803333333337,1,0
0.45799311666666664,1,0
0.4595906833333333,1,0
0.46174148333333337,1,0
0.46294155,1,0
0.46466216666666665,1,0
0.4666082,1,0
0.46868781666666665,1,0
0.47035761666666664,1,0
0.47202143333333335,1,0
0.47368518333333337,1,0
0.47536913333333336,1,0
0.47706244999999997,1,0
0.47868523333333335,1,0
0.4803521,1,0
0.4820202666666667,1,0
0.4820202666666667,1,0
0.4853486833333333,1,0
0.48701631666666667,1,0
0.4886816,1,0
0.49035206666666664,1,0
0.4923836166666667,1,0
0.4936866166666667,1,0
0.49535331666666665,1,0
0.49701985,1,0
0.49868853333333335,1,0
0.5013115,1,0
0.5020352333333333,1,0
0.50466045,1,0
0.5056787833333333,1,0

